subject,attention,solutions,score
1,divided,1,2
2,divided,1,3
3,divided,1,3
4,divided,1,5
5,divided,1,4
6,divided,1,5
7,divided,1,5
8,divided,1,5
9,divided,1,2
10,divided,1,6
11,focused,1,6
12,focused,1,8
13,focused,1,6
14,focused,1,8
15,focused,1,8
16,focused,1,6
17,focused,1,7
18,focused,1,7
19,focused,1,5
20,focused,1,6
1,divided,2,4
2,divided,2,4
3,divided,2,5
4,divided,2,7
5,divided,2,5
6,divided,2,5
7,divided,2,4.5
8,divided,2,7
9,divided,2,3
10,divided,2,5
11,focused,2,5
12,focused,2,9
13,focused,2,5
14,focused,2,8
15,focused,2,8
16,focused,2,8
17,focused,2,7
18,focused,2,8
19,focused,2,6
20,focused,2,6
1,divided,3,7
2,divided,3,5
3,divided,3,6
4,divided,3,5
5,divided,3,8
6,divided,3,6
7,divided,3,6
8,divided,3,8
9,divided,3,7
10,divided,3,6
11,focused,3,6
12,focused,3,8
13,focused,3,9
14,focused,3,7
15,focused,3,7
16,focused,3,7
17,focused,3,6
18,focused,3,6
19,focused,3,6
20,focused,3,5
